QueryNumber;DocNumber;DocVotes
1;139;7
1;151;6
1;166;1
1;311;1
1;370;2
1;392;1
1;439;1
1;440;2
1;441;7
1;454;1
1;461;5
1;502;2
1;503;1
1;505;1
1;520;2
1;522;1
1;526;3
1;527;2
1;533;8
1;593;1
1;619;1
1;737;1
1;742;1
1;789;1
1;827;1
1;835;1
1;861;1
1;875;5
1;891;1
1;921;2
1;922;2
1;1175;1
1;1185;1
1;1222;1
2;169;1
2;434;2
2;454;1
2;498;1
2;499;1
2;592;2
2;875;3
3;23;1
3;40;1
3;139;7
3;190;1
3;221;1
3;246;1
3;309;1
3;311;2
3;325;1
3;345;1
3;347;1
3;356;1
3;370;2
3;374;1
3;375;7
3;439;1
3;440;4
3;454;5
3;515;1
3;520;1
3;524;1
3;526;2
3;527;5
3;533;1
3;535;1
3;560;1
3;561;1
3;571;1
3;584;1
3;604;2
3;623;1
3;633;8
3;733;1
3;742;2
3;854;1
3;856;6
3;950;1
3;967;1
3;1144;4
3;1161;1
3;1172;1
3;1175;1
3;1196;2
4;503;1
4;538;1
4;539;1
4;540;1
4;553;1
4;604;8
4;669;2
4;711;7
4;876;8
5;23;6
5;47;7
5;50;1
5;60;1
5;114;2
5;132;1
5;135;1
5;139;1
5;151;8
5;169;1
5;189;1
5;190;1
5;197;1
5;200;1
5;226;1
5;256;6
5;265;1
5;297;1
5;298;1
5;299;1
5;311;1
5;312;1
5;325;3
5;333;1
5;343;2
5;347;3
5;349;1
5;369;1
5;370;5
5;371;1
5;374;8
5;386;2
5;392;1
5;410;1
5;420;1
5;427;1
5;428;1
5;430;2
5;434;1
5;437;1
5;439;8
5;440;1
5;441;1
5;450;1
5;461;5
5;465;3
5;478;1
5;496;5
5;497;6
5;498;6
5;499;7
5;500;4
5;501;1
5;502;1
5;503;7
5;505;1
5;511;3
5;513;1
5;516;2
5;520;1
5;524;2
5;531;1
5;533;6
5;549;1
5;553;2
5;559;1
5;561;1
5;568;1
5;590;1
5;592;2
5;593;8
5;604;2
5;605;1
5;633;7
5;669;1
5;701;1
5;702;1
5;710;7
5;711;2
5;722;1
5;724;2
5;729;1
5;731;2
5;733;2
5;750;1
5;761;1
5;763;1
5;772;1
5;779;1
5;788;1
5;805;6
5;843;2
5;845;1
5;856;6
5;857;1
5;861;6
5;864;1
5;867;2
5;875;8
5;876;2
