Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Open Access,Source,EID
"Taiuti M., Durante E., Anghinolfi M., Bianchi N., Corvisiero P., De Sanctis E., Gervino G., Guaraldo C., Sandri P.L., Lucherini V., Mattera L., Muccifora V., Polli E., Reolon A.R., Ricco G., Rossi P., Sanzone M., Urciuoli G.M., Valbusa U., Zucchiatti A.","8903145200;24351457500;9839993400;56462220700;7006743134;7006437620;8078528400;7005290012;6603597012;56238532600;7003427767;8721809700;18936485200;6602084668;7006686139;36667380600;22969150700;7004674487;7007131601;7005273237;","The argon cluster beam installed in the ADONE storage ring",1990,"Nuclear Inst. and Methods in Physics Research, A","297","3",,"354","363",,20,"10.1016/0168-9002(90)91318-6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-4244093009&doi=10.1016%2f0168-9002%2890%2991318-6&partnerID=40&md5=7cb749d427416c4a7e031cb8aeb1de94","INFN, Dipartimento di Fisica dell'Università di Genova, I-16146 Genova, Italy; INFN Laboratori Nazionali di Frascati, P.O. Box 13, I-00044 Frascati, Italy; INFN Sezione Sanità, I-00185 Rome, Italy; Dipartimento di Fisica dell'Università di Torino, I-10100 Torino, Italy","Taiuti, M., INFN, Dipartimento di Fisica dell'Università di Genova, I-16146 Genova, Italy; Durante, E., INFN, Dipartimento di Fisica dell'Università di Genova, I-16146 Genova, Italy; Anghinolfi, M., INFN, Dipartimento di Fisica dell'Università di Genova, I-16146 Genova, Italy; Bianchi, N., INFN Laboratori Nazionali di Frascati, P.O. Box 13, I-00044 Frascati, Italy; Corvisiero, P., INFN, Dipartimento di Fisica dell'Università di Genova, I-16146 Genova, Italy; De Sanctis, E., INFN Laboratori Nazionali di Frascati, P.O. Box 13, I-00044 Frascati, Italy; Gervino, G., Dipartimento di Fisica dell'Università di Torino, I-10100 Torino, Italy; Guaraldo, C., INFN Laboratori Nazionali di Frascati, P.O. Box 13, I-00044 Frascati, Italy; Sandri, P.L., INFN Laboratori Nazionali di Frascati, P.O. Box 13, I-00044 Frascati, Italy; Lucherini, V., INFN Laboratori Nazionali di Frascati, P.O. Box 13, I-00044 Frascati, Italy; Mattera, L., INFN, Dipartimento di Fisica dell'Università di Genova, I-16146 Genova, Italy; Muccifora, V., INFN Laboratori Nazionali di Frascati, P.O. Box 13, I-00044 Frascati, Italy; Polli, E., INFN Laboratori Nazionali di Frascati, P.O. Box 13, I-00044 Frascati, Italy; Reolon, A.R., INFN Laboratori Nazionali di Frascati, P.O. Box 13, I-00044 Frascati, Italy; Ricco, G., INFN, Dipartimento di Fisica dell'Università di Genova, I-16146 Genova, Italy; Rossi, P., INFN Sezione Sanità, I-00185 Rome, Italy; Sanzone, M., INFN, Dipartimento di Fisica dell'Università di Genova, I-16146 Genova, Italy; Urciuoli, G.M., INFN Sezione Sanità, I-00185 Rome, Italy; Valbusa, U., INFN, Dipartimento di Fisica dell'Università di Genova, I-16146 Genova, Italy; Zucchiatti, A., INFN, Dipartimento di Fisica dell'Università di Genova, I-16146 Genova, Italy","The argon cluster beam, with a maximum thickness of 1.5 × 1014 atoms/cm2, installed at Frascation the ADONE storage ring, is described. The cluster beam works at room temperature and is used as radiator to produce an intense tagged photon beam with energy up to 1.2 GeV. The argon bea, properties were measured using electrons stored in ADONE; the results are in good agreement with the expected values. The apparatus can produce cluster beams of higher thickness and work with different gases. It is suitable for internal target experiments with the 1.5 GeV stored electrons. © 1990.",,,Article,"Final","",Scopus,2-s2.0-4244093009
"Mollhoff T., Sukehiro S., Van Aken H., Flameng W.","56209461000;6602569948;7202279285;7102676180;","Long-term preservation of baboon hearts. Effects of hypothermic ischemic and cardioplegic arrest on high-energy phosphate content",1990,"Circulation","82","5 SUPPL.",,"IV","264-IV-268",,13,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0025107341&partnerID=40&md5=410098e398ca1061e0cc6c41f969f739","Katholieke Universiteit, University Clinic Gasthuisberg, Minderbroeders Straat 17, 3000 Leuven, Belgium","Mollhoff, T., Katholieke Universiteit, University Clinic Gasthuisberg, Minderbroeders Straat 17, 3000 Leuven, Belgium; Sukehiro, S., Katholieke Universiteit, University Clinic Gasthuisberg, Minderbroeders Straat 17, 3000 Leuven, Belgium; Van Aken, H., Katholieke Universiteit, University Clinic Gasthuisberg, Minderbroeders Straat 17, 3000 Leuven, Belgium; Flameng, W., Katholieke Universiteit, University Clinic Gasthuisberg, Minderbroeders Straat 17, 3000 Leuven, Belgium","Baboon hearts were preserved ex vivo after hypothermic ischemic or cardioplegic arrest and were stored cold (0.5°C) for 24 hours. Ischemic arrest was induced on cardiopulmonary bypass after general cooling to 25°C. Cardioplegic arrest was induced using either a hyperkalemic standard cardioplegic solution National Institutes of Health ([NIH] solution) or the recently developed University of Wisconsin (UW) organ preservation solution. ATP and catabolites were assessed in serial transmural biopsies. Cardioplegia significantly delayed the breakdown of ATP during storage. After infusion of the adenosine-supplemented UW solution, myocardial content of adenosine was high as compared with that in NIH-arrested hearts (9.12 versus 0.01 μmol · g-1 dry wt). During cold storage, however, adenosine converted to inosine in spite of profound hypothermia. This renders unlikely the potential of fast resynthesis of ATP out of the supplemented nucleoside pool after reoxygenation.","Cardioplegia; High-energy phosphates; Ischemia","animal cell; article; cardioplegia; controlled study; energy metabolism; hypothermia; methodology; monkey; nonhuman; organ culture; priority journal; Adenosine Triphosphate; Animal; Cardioplegic Solutions; Cold; Comparative Study; Heart; Heart Arrest, Induced; Heart Transplantation; Hypothermia, Induced; Myocardium; Organ Preservation; Papio; Time Factors",Article,"Final","",Scopus,2-s2.0-0025107341
"Petit E.J., Caudano R.","56208238400;7005109681;","Chemical reactions at solid-solid interfaces induced by pulsed laser annealing",1990,"Applied Surface Science","46","1-4",,"357","364",,7,"10.1016/0169-4332(90)90170-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0025545378&doi=10.1016%2f0169-4332%2890%2990170-5&partnerID=40&md5=3cd0ff6cd77272fbeb90471ed5d31f06","LISE, Institute for Studies of Interfacial Science, Facultés Universitaires N-D de la Paix, Rue de Bruxelles 61, B-5000 Namur, Belgium","Petit, E.J., LISE, Institute for Studies of Interfacial Science, Facultés Universitaires N-D de la Paix, Rue de Bruxelles 61, B-5000 Namur, Belgium; Caudano, R., LISE, Institute for Studies of Interfacial Science, Facultés Universitaires N-D de la Paix, Rue de Bruxelles 61, B-5000 Namur, Belgium","Al thin films (thickness < 1000 Å) evaporated on the (111) face of an Sb single crystal, and Al-Sb multilayer thin films (thickness < 1000 Å) evaporated on glass and quartz substrates were irradiated in UHV by the pulsed beam of an excimer laser. The samples were characterized in-situ during the growth of the films and after the irradiations by Auger and photoelectron spectroscopies without breaking the vacuum, and later, by scanning electron microscopy. The formation of the AlSb compound is observed above the fluence threshold previously reported. Lateral transport of matter and inhomogeneous reaction are observed after irradiation of the Al films deposited on Sb crystals, leading to the formation of an inhomogeneous surface with holes and particles. A strong chemical reaction between the substrate and the films also leads to a partial oxidation of the film evaporated on quartz or glass. We observed the same behaviour under the IR laser beam from a Q-switched Nd:YAG laser. One has taken advantage of fast thermal processes of thin films induced by pulsed or scanned CW laser beams for applications like synthesis of compounds by laser alloying, oxidation of thin films, planarization, and phase changes in optical data storage media. The relevant parameters needed to predict the evolution of the film/substrate interface under strong laser irradiation using the thermal model are not only: (i) the thermal properties of the substrate, and (ii) the optical characteristics of the film-substrate system, but also (iii) the chemical stability of the interface, and (iv) the free surface energies of the substrate and of the film, at least above the melting fluence threshold or if thermal cycling is expected over large periods of time. © 1990.",,"Chemical Reactions--Photochemical Reactions; Intermetallics--Synthesis; Laser Pulses--Radiation Effects; Spectroscopy, Auger Electron--Applications; Spectroscopy, Photoelectron--Applications; Interfacial Photochemical Reactions; Intermetallic Compound Synthesis; Laser-Evaporated Semiconducting Films; Pulsed Laser Film Annealing; X-Ray Photoelectron Spectroscopy; Semiconducting Films",Article,"Final","",Scopus,2-s2.0-0025545378
"Yatsui K., Masugata K., Masuda W., Sekimoto Y., Jiang W., Aoyama T., Hozumi Y., Imada G., Kobayashi S., Shigeta M., Shibata K.","7006293874;7004840555;7005435582;57203215989;34770834800;57215802924;55600832300;6701826313;55600792100;7102438241;7403544405;","Recent progress of intense pulsed ion-beam driven fusion studies at Nagaoka",1990,"1990 8th International Conference on High-Power Particle Beams, BEAMS 1990",,,"6396270","159","166",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84874101726&partnerID=40&md5=9f0fb32520e78d96c8084a61c28d25e8","Lab. Beam Tech., Nagaoka Univ. Tech., Niigata 940-21, Japan","Yatsui, K., Lab. Beam Tech., Nagaoka Univ. Tech., Niigata 940-21, Japan; Masugata, K., Lab. Beam Tech., Nagaoka Univ. Tech., Niigata 940-21, Japan; Masuda, W., Lab. Beam Tech., Nagaoka Univ. Tech., Niigata 940-21, Japan; Sekimoto, Y., Lab. Beam Tech., Nagaoka Univ. Tech., Niigata 940-21, Japan; Jiang, W., Lab. Beam Tech., Nagaoka Univ. Tech., Niigata 940-21, Japan; Aoyama, T., Lab. Beam Tech., Nagaoka Univ. Tech., Niigata 940-21, Japan; Hozumi, Y., Lab. Beam Tech., Nagaoka Univ. Tech., Niigata 940-21, Japan; Imada, G., Lab. Beam Tech., Nagaoka Univ. Tech., Niigata 940-21, Japan; Kobayashi, S., Lab. Beam Tech., Nagaoka Univ. Tech., Niigata 940-21, Japan; Shigeta, M., Lab. Beam Tech., Nagaoka Univ. Tech., Niigata 940-21, Japan; Shibata, K., Lab. Beam Tech., Nagaoka Univ. Tech., Niigata 940-21, Japan","Very tightly-focused ion beam was obtained by 'Plasma Focus Diode' (PFD), yielding focusing diameter of ∼ 360 μm, and power density of ∼ 0.1 TW/cm2 at the beam energy of ∼ 1.5 MeV. Enhanced energy deposition was observed in the interaction with aluminium target with the enhancement ratio of ∼ 1.5. In comparison of the experimental data with 1-D hydrocode simulation, good agreement is obtained between them. © 1990 World Scientific.",,"Beam energies; Energy depositions; Enhancement ratios; Experimental datum; Hydrocode simulation; Plasma focus; Power densities; Recent progress; Particle beams; Digital storage",Conference Paper,"Final","",Scopus,2-s2.0-84874101726
"Burtsev V.A., Ermolaev Y.L., Kalinln N.V.","7102791450;6701820275;55600472800;","Future possible applications of different powerful pulsed generators in accelerating technology",1990,"1990 8th International Conference on High-Power Particle Beams, BEAMS 1990",,,"6396392","996","1009",,1,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84874091429&partnerID=40&md5=2db2b2fe4f06494a79d293defd5d5d98","Efremov Scientific and Research Institute of Electrophysical Apparatus, Leningrad 189631, Russian Federation","Burtsev, V.A., Efremov Scientific and Research Institute of Electrophysical Apparatus, Leningrad 189631, Russian Federation; Ermolaev, Y.L., Efremov Scientific and Research Institute of Electrophysical Apparatus, Leningrad 189631, Russian Federation; Kalinln, N.V., Efremov Scientific and Research Institute of Electrophysical Apparatus, Leningrad 189631, Russian Federation","An application package was created for numerical simulation of powerful pulsed electromagnetic energy generators of different types. These generators include those based on the capacitive energy storages in the form of Arkad'ev-Marx generators with forming lines, inductive storages with pulsed high-current multy-staged charging and switching by electroexplosive current breakers as well as magnetic cumulative generators with step-up transformers. Examples of such generators applications in the acceleration technology are considered. Conditions of their matching with high-current electron beam producing vacuum diodes were investigated numerically for obtaining maximum efficiency of energy transmission into the beam. Our calculations demonstrated the possibility of obtaining in this accelerators high-aperture electron beams having rectangular cross section and time duration of t = 1-10 microseconds, electron energies Ue = 0.5 MeV and currents of the order of tens and hundreds of kiloamps. © 1990 World Scientific.",,"Capacitive energy storage; Current breakers; Electron energies; Energy transmission; High-aperture; High-current; High-current electron beams; Inductive storage; Magnetic cumulative generators; Maximum Efficiency; Rectangular cross-sections; Step up transformers; Time duration; Vacuum diodes; Electromagnetic waves; Electron beams",Conference Paper,"Final","",Scopus,2-s2.0-84874091429
"Arzhannikov A.V., Astrelin V.T., Gorbovski A.I., Koidan V.S., Lebedev S.V., Nikolaev V.S., Semyonov E.P., Smirnov A.V., Sharapov V.K., Shcheglov M.A.","7004910972;6603962589;55601937400;9532973600;57202518830;57206385561;55601831300;57212234576;55601891300;6701354406;","Design features of megavolt generators for production of microsecond E-beams with energy more than 100 kJ",1990,"1990 8th International Conference on High-Power Particle Beams, BEAMS 1990",,,"6396389","979","984",,1,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84874049302&partnerID=40&md5=4f37cbb44b73d76347fe990e6fb529f7","Institute of Nuclear Physics, 630090, Novosibirsk, Russian Federation","Arzhannikov, A.V., Institute of Nuclear Physics, 630090, Novosibirsk, Russian Federation; Astrelin, V.T., Institute of Nuclear Physics, 630090, Novosibirsk, Russian Federation; Gorbovski, A.I., Institute of Nuclear Physics, 630090, Novosibirsk, Russian Federation; Koidan, V.S., Institute of Nuclear Physics, 630090, Novosibirsk, Russian Federation; Lebedev, S.V., Institute of Nuclear Physics, 630090, Novosibirsk, Russian Federation; Nikolaev, V.S., Institute of Nuclear Physics, 630090, Novosibirsk, Russian Federation; Semyonov, E.P., Institute of Nuclear Physics, 630090, Novosibirsk, Russian Federation; Smirnov, A.V., Institute of Nuclear Physics, 630090, Novosibirsk, Russian Federation; Sharapov, V.K., Institute of Nuclear Physics, 630090, Novosibirsk, Russian Federation; Shcheglov, M.A., Institute of Nuclear Physics, 630090, Novosibirsk, Russian Federation","Now all these generators are in the operation: 1. The U-1 generator is being in operation since 1980 and produces REB with the following parameters: electron energy W ≃ 1.1 MeV, maximum current I ≃ 50 kA, energy content Q ≃ 140 kJ, pulse duration τ ≃ 5 - 7 μs. In the focused beam the current density is up to 6 kA/cm2 and Q ≃ 110 kJ. Over 2500 shots have been made. 2. The U-2 generator is being in operation since 1986. First it was used for the generation of the cylindrical beam with the following parameters: W ≃ 1 MeV, I ≃ 50 kA, Q ≃ 160 kJ τ ≤ 10 ≃s. In 1989 there was obtained a 5 × 140 cm ribbon beam with an energy content of about 150 kJ. The ribbon beam transport and its cross section transformation from the ribbon shape to a circulal one have been carried out at the energy 50 kJ. Over 1500 shots have been made. An increase of the energy content by adding of the additional energy storage is planning now. 3. The U-3 generator operates since 1987. There was achieved the energy content of the beam of about 180 kJ. Over 600 shots have been made. © 1990 World Scientific.",,"Beam transport; Cylindrical beams; Design features; E-beams; Electron energies; Energy content; Focused beams; IS planning; Production of; Pulse durations; Particle beams",Conference Paper,"Final","",Scopus,2-s2.0-84874049302
"Astrelin V.T., Chikunov V.V., Koidan V.S., Lebedev S.V., Nikolaev V.S., Shcheglov M.A., Smirnov A.V., Voropaev S.G.","6603962589;7801665511;9532973600;57202518830;57206385561;6701354406;57212234576;6604054854;","High-voltage generators for high-power microsecond REB production",1990,"1990 8th International Conference on High-Power Particle Beams, BEAMS 1990",,,"6396286","288","292",,1,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84874048668&partnerID=40&md5=733ca150ed90c2bc57ca2f3aa78ff0f3","Institute of Nuclear Physics, Novosibirsk 630090, Russian Federation","Astrelin, V.T., Institute of Nuclear Physics, Novosibirsk 630090, Russian Federation; Chikunov, V.V., Institute of Nuclear Physics, Novosibirsk 630090, Russian Federation; Koidan, V.S., Institute of Nuclear Physics, Novosibirsk 630090, Russian Federation; Lebedev, S.V., Institute of Nuclear Physics, Novosibirsk 630090, Russian Federation; Nikolaev, V.S., Institute of Nuclear Physics, Novosibirsk 630090, Russian Federation; Shcheglov, M.A., Institute of Nuclear Physics, Novosibirsk 630090, Russian Federation; Smirnov, A.V., Institute of Nuclear Physics, Novosibirsk 630090, Russian Federation; Voropaev, S.G., Institute of Nuclear Physics, Novosibirsk 630090, Russian Federation","The experience of design, operation and application of the high-voltage generators for the microsecond REB production with energy content of over 100 kJ is summarized. The variants of capacity storages designed according to the LC-generator scheme and been charged by 1 MV d.c. voltage are described. © 1990 World Scientific.",,"Energy content; High voltage generators; Particle beams",Conference Paper,"Final","",Scopus,2-s2.0-84874048668
"Khmara L.A.","24369731800;","Problems of modelling biophotolysis of water in molecular photocatalytic systems",1990,"Biophysics","35","6",,"976","989",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-45149139005&partnerID=40&md5=32db6fbd69c02ee73a65091891fb7480","Pisarzhevskii Institute of Physical Chemistry, Ukrainian S.S.R. Academy of Sciences, Kiev, Russian Federation","Khmara, L.A., Pisarzhevskii Institute of Physical Chemistry, Ukrainian S.S.R. Academy of Sciences, Kiev, Russian Federation","The current state of affairs in the field of creation of molecular photocatalytic systems for the conversion and storage of solar energy modelling the process of photosynthetic decomposition of water is discussed. The structure of the organized molecular systems based on sensitized phospholipid vesicles with membrane-isolated catalysts of oxidation and reduction of water is examined. Attention is focussed on the stage of oxidation of water to molecular oxygen, i.e. modelling photosystem II. In this connexion the author considers the development of research starting with modelling of the process of oxidation of water by multi-electron photosynthetic mechanisms in homogeneous acidic and alkaline media and also work on the creation of molecularly organized systems of photo-oxidation of water using single electron catalysts. The possibilities of creating molecular photocatalytic systems are discussed uniting the reactions of oxidation and reduction of water and also the factors limiting in principle the closure of the redox cycle of systems in the visible region of the spectrum. The structure of the catalytic complex of oxidation of water in native photosynthetic membranes is considered. Special attention is paid to the manganese-protein interactions in the system of photosynthetic oxidation of water and also the linkage of manganese with the individual proteins of the complex of evolution of oxygen. Current ideas on the structure of the metallic nucleus of the natural catalyst of decomposition of water are presented. From the published data the author determines the main directions along which research is developing most vigorously and successfully. © 1992.",,,Article,"Final","",Scopus,2-s2.0-45149139005
"Segner H., Rösch R.","7004956984;7005299893;","Development of dry food for larvae of Coregonus lavaretus L. II. Liver histology",1990,"Aquaculture","91","1-2",,"117","130",,3,"10.1016/0044-8486(90)90181-L","https://www.scopus.com/inward/record.uri?eid=2-s2.0-38249017785&doi=10.1016%2f0044-8486%2890%2990181-L&partnerID=40&md5=cbaa0cb4b2154d8545cf2341a8476ab2","Zoologie II, University of Karlsruhe, Kaiserstr. 12, D-7500 Karlsruhe, Germany; Institute for Lake Research and Fisheries, Untere Seestr. 81, D-7994 Langenargen, Germany","Segner, H., Zoologie II, University of Karlsruhe, Kaiserstr. 12, D-7500 Karlsruhe, Germany; Rösch, R., Institute for Lake Research and Fisheries, Untere Seestr. 81, D-7994 Langenargen, Germany","Metabolic effects of four dry diets or of living zooplankton underlying different growth responses of larval Coregonus lavaretus were assessed by analysing diet-induced liver structural alterations. Diets I, II and IV contained yeast, diet III was without yeast. Live food resulted in large hepatocyte nuclei, indicative of intensive cell metabolism, and in a strong development of the rough endoplasmic reticulum (RER), indicative of strong hepatocellular protein synthesis. Among all dietary treatments, hepatic energy stores (glycogen) were lowest in the zooplankton group. The hepatocellular features described are indicative of primarily anabolic liver metabolism in zooplankton-fed larvae. The four dry diets led to significantly smaller nuclei, indicating lower cell metabolic activity. Diets I-III, which all contained wheat flour, resulted in poor development of the RER and in significantly increased hepatic glycogen storage, whereas the carbohydrate-free diet IV was associated with lower glycogen contents and improved development of the RER. It was concluded that coregonid larvae are not able to metabolize efficiently carbohydrates absorbed from the diet. The presence (diets I, II, IV) or absence (diet III) of yeast in the dry food was of no relevance for liver function, indicating that yeast is not a crucial ingredient for successful coregonid starter diets. © 1990.",,,Article,"Final","",Scopus,2-s2.0-38249017785
"Boe I.N., Lovrien R.E.","6602567732;7003273946;","Energy reserves and storage polymers in intact bacteria analyzed by metabolic calorimetry",1990,"Thermochimica Acta","172","C",,"115","122",,6,"10.1016/0040-6031(90)80565-G","https://www.scopus.com/inward/record.uri?eid=2-s2.0-38249016348&doi=10.1016%2f0040-6031%2890%2980565-G&partnerID=40&md5=8a79151ed5291a8f2569f51ed8bf1c9f","Biochemistry Department, University of Minnesota, 1479 Gortner Avenue, St. Paul, MN 55108, United States","Boe, I.N., Biochemistry Department, University of Minnesota, 1479 Gortner Avenue, St. Paul, MN 55108, United States; Lovrien, R.E., Biochemistry Department, University of Minnesota, 1479 Gortner Avenue, St. Paul, MN 55108, United States","Bacteria grown under nitrogen limitation and excess carbon accumulate energy storage polymers such as PHB, poly β-hydroxybutyrate. On mixing 1 to 2 ml. suspensions of such cells (2-20 mg. of cells) with air but no additional carbon in a calorimeter large heats evolve until cellular internal energy reserves are consumed. Division of the overall heat by the specific heat content of monomer aerobic metabolism - estimated as (-)200 Kcal/mole PHB monomer - gives the apparent weight of energy reserve content of the cells. The calorimetric method is easier to carry out than conventional respirometric or oxygen uptake methods that require tight control of oxygen concentration baselines. In calorimetry any roughly set oxygen concentration suffices if there is an excess of oxygen sufficient to exhaust the storage materials residing in the cells. © 1990.",,,Article,"Final","",Scopus,2-s2.0-38249016348
