Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Open Access,Source,EID
"Oguge N., Oremo F.","6603288150;57201192379;","Fostering the use of rainwater for off-season small-scale irrigation in srid and semi-arid areas of Kenya",2017,"Rainwater-Smart Agriculture in Arid and Semi-Arid Areas: Fostering the Use of Rainwater for Food Security, Poverty Alleviation, Landscape Restoration and Climate Resilience",,,,"159","174",,5,"10.1007/978-3-319-66239-8_9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85043724453&doi=10.1007%2f978-3-319-66239-8_9&partnerID=40&md5=a174086032bb33cf0ab3d2d379c014de","Centre for Advanced Studies in Environmental Law and Policy, University of Nairobi, P.O. Box 30197, Nairobi, 00100, Kenya","Oguge, N., Centre for Advanced Studies in Environmental Law and Policy, University of Nairobi, P.O. Box 30197, Nairobi, 00100, Kenya; Oremo, F., Centre for Advanced Studies in Environmental Law and Policy, University of Nairobi, P.O. Box 30197, Nairobi, 00100, Kenya","Water scarcity is a constraint to rainfed agriculture in tropical arid and semi-arid environments. This situation is likely to be exacerbated by climate change. Further, sub-Saharan Africa is expected to experience increased consumption of food, energy and water resources due to rapidly growing economies and urban populations. This calls for innovative and appropriate technologies to support production systems amid the changing climate. Collection, storage and use of rainwater for off-season irrigation, if combined with climate-smart agriculture, have the potential to improve food security and income for smallholder farmers. Replication, scaling-up and transfer of integrated rainwater harvesting (RWH) irrigation management systems require a multidimensional assessment of existing technologies and their use. This study sets out to assess and map best practices in RWH irrigation systems in dryland agro-ecosystems in Kenya. We used both primary and secondary sources in our evaluation. Primary data was based on key informant interviews of institutions and practitioners, and stakeholder workshops in RWH. Secondary sources included journals, technical reports and other relevant publications. Our study identified adoption of place-specific rainwater harvesting systems. These included in situ, micro- and macro-catchment technologies. While the in situ and micro-catchment systems included soil conservation measures, macro-catchment systems were run-off-based. Our finding shows that arid and semi-arid areas of Kenya have high potential for climate resilient food production if RWH irrigation technologies are adopted and scaled up, hence the need for policies that would promote adoption of context-specific rainwater harvesting technologies for different climatic, bio-physical, socio-economic and cultural conditions. This will enhance adaptive capacities of smallholder farmers and reduce their vulnerabilities to climate change while increasing food production to meet growing demand in the country with a view to contributing to sustainable development. © Springer International Publishing AG 2018.","Adoption Dryland agro-ecosystems; Best practices; Mapping; Rainwater harvesting",,Book Chapter,"Final","",Scopus,2-s2.0-85043724453
"Wang J.-S., Wang S.-Y.","7701338399;35304042300;","High temperature superconducting magnetic levitation",2017,"High Temperature Superconducting Magnetic Levitation",,,,"1","388",,1,"10.1515/9783110538434","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045577690&doi=10.1515%2f9783110538434&partnerID=40&md5=e92a5c027eb72de03096d7423709e097","Chengdu, China","Wang, J.-S., Chengdu, China; Wang, S.-Y., Chengdu, China","The authors begin this book with a systematic overview of superconductivity, superconducting materials, magnetic levitation, and superconducting magnetic levitation - the prerequisites to understand the latter part of the book - that forms a solid foundation for further study in High Temperature Superconducting Magnetic Levitation (HTS Maglev). This book presents our research progress on HTS Maglev at Applied Superconductivity Laboratory (ASCLab) of Southwest Jiaotong University (SWJTU), China, with an emphasis on the findings that led to the world's first manned HTS Maglev test vehicle ""Century"". The book provides a detailed description on our previous work at ASCLab including the designing of the HTS Maglev test and measurement method as well as the apparatus, building ""Century"", developing the HTS Maglev numerical simulation system, and making new progress on HTS Maglev. The final parts of this book discuss research and prototyping efforts at ASCLab in several adjacent fi elds including HTS Maglev bearing, Flywheel Energy Storage System (FESS) and HTS maglev launch technology. We hope this book becomes a valuable source for researchers and engineers working in the fascinating field of HTS Maglev science and engineering. © 2018 Walter de Gruyter GmbH and Peking University Press, Berlin/Boston/Beijing. All rights reserved.",,,Book,"Final","",Scopus,2-s2.0-85045577690
"Deng Z.-G., Lin Q.-X., Liu W., Wang J.-S., Wang S.-Y.","14053713800;57206554212;56092156700;7701338399;35304042300;","HTS Maglev bearing and flywheel energy storage system",2017,"High Temperature Superconducting Magnetic Levitation",,,,"325","368",,,"10.1515/9783110538434-009","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045569701&doi=10.1515%2f9783110538434-009&partnerID=40&md5=acb33f180ebee5ee3387bf3185aa405a","Chengdu, China","Deng, Z.-G.; Lin, Q.-X.; Liu, W.; Wang, J.-S., Chengdu, China; Wang, S.-Y., Chengdu, China",[No abstract available],,,Book Chapter,"Final","",Scopus,2-s2.0-85045569701
"Harvey A.L.","57194381783;","Anesco celebrates subsidy-free solar",2017,"Power","161","12",,"","",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85037828656&partnerID=40&md5=1176b3c5b7dbaab1ab71ccf8eab73f99",,"Harvey, A.L.","The 45-acre Clayhill solar farm and energy storage facility near Flitwick in Bedfordshire, UK is UK≈s first solar farm built without government subsidies. The 10-MW solar farm built by British renewable energy developer Anesco, will generate enough electricity for nearly 2500 homes and save 4452 tons of carbon. The project also includes 5 battery storage units totalling to 6 MW, which will help provide grid-balancing services to National Grid. The solar farm consists of 31,240 solar panels, supplied by BYD, installed on 15,620 m of frames. The inclusion of batteries was also crucial to ensuring that the project could be completed without subsidy. Through a program with National Grid, Anesco will be paid to help ensure the stability of the grid.",,,Note,"Final","",Scopus,2-s2.0-85037828656
"Seginer I., Van Straten G., Van Beveren P.J.M.","7003456041;55788509000;55585409000;","Day-To-night heat storage in greenhouses: A simulation study",2017,"Acta Horticulturae","1182",,,"119","127",,,"10.17660/ActaHortic.2017.1182.14","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85037743324&doi=10.17660%2fActaHortic.2017.1182.14&partnerID=40&md5=36db66f3057155c5861ee4fc9a0a9f47","Technion, Haifa, Israel; Wageningen UR, Wageningen, Netherlands","Seginer, I., Technion, Haifa, Israel; Van Straten, G., Wageningen UR, Wageningen, Netherlands; Van Beveren, P.J.M., Wageningen UR, Wageningen, Netherlands","In cold-climate locations, where natural gas is burned during the day to enrich greenhouses with carbon dioxide, water tanks (buffers) are often used to store the surplus daytime heat for nighttime heating. A practical control strategy for filling (charging) and emptying (discharging) of the buffer, based on a virtual value (costate) of the stored heat (the state), is suggested and illustrated by simulation. Heating and ventilation decisions are obtained by maximizing, at each time step, the virtual increase in value of the greenhouse system (including stored heat). As long as the heat buffer is neither empty nor full, the virtual value (co-state) of the stored heat remains constant. When the buffer is full (towards the end of a day), this value is gradually decreased, until the buffer starts to discharge. When the buffer empties (towards the end of a night), the virtual value is gradually increased, until recharging of the buffer starts again. This heuristic strategy is meant to minimize the time that the buffer is empty or full, because in these states the buffer is inactive (ineffective). Simulations with an annual weather sequence show the following: (1) the winter-Time virtual value of stored heat is about equal to the actual cost of heat, while in summer it is close to zero; (2) the utilization of the buffer, judged by the time on the storage bounds (full or empty), is roughly uniform along the year; (3) the performance of the system improves asymptotically with an increase of the installed capacity of the buffer; (4) expensive energy (heat) results in reduced intensity of cultivation (less heat and less yield).","Co-state-based policy; Co2 enrichment; Day-To-night heat storage; Greenhouses",,Conference Paper,"Final","",Scopus,2-s2.0-85037743324
"Nenguwo N., Afari-Sefa V., Marealle R.","57185664300;35306488300;57199187765;","Evaluation of low-cost cooling options for leafy vegetables grown by smallholder farmers in Tanzania",2017,"Acta Horticulturae","1179",,,"189","196",,,"10.17660/ActaHortic.2017.1179.29","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85037702581&doi=10.17660%2fActaHortic.2017.1179.29&partnerID=40&md5=5ff1090795f542f69647f3a0384f7863","AVRDC, World Vegetable Center, Eastern and Southern Africa, P.O. Box 10 Duluti, Arusha, Tanzania","Nenguwo, N., AVRDC, World Vegetable Center, Eastern and Southern Africa, P.O. Box 10 Duluti, Arusha, Tanzania; Afari-Sefa, V., AVRDC, World Vegetable Center, Eastern and Southern Africa, P.O. Box 10 Duluti, Arusha, Tanzania; Marealle, R., AVRDC, World Vegetable Center, Eastern and Southern Africa, P.O. Box 10 Duluti, Arusha, Tanzania","Vegetable production is an important activity for smallholder farmers in Tanzania as a viable source of household income and nutritious food. However, fresh vegetables are highly perishable, and have a short shelf-life unless kept in a cool environment. Mechanical refrigeration is recommended for cooling vegetables, but it is costly and requires a steady supply of electricity. Thus, it cannot be easily adopted by smallholders, especially those in rural areas without electricity. In this study, three alternative cooling methods were tested on amaranth and African nightshade: 1) zero-energy cool chamber (ZECC), 2) ice packs, and 3) ice packs in insulated bags. The use of a ZECC reduced weight loss effectively in amaranth, but not in African nightshade. The use of one to three ice packs per plastic crate lowered the leaf temperature and decreased the weight loss of African nightshade. The use of insulated bags enhanced the cooling effect, and resulted in further reduction of weight loss and retention of green color in amaranth. The results demonstrate that the low-cost cooling methods tested have great potential to reduce postharvest losses of vegetables caused by lack of proper storage conditions.","Evaporative cooling; Packed ice; Shelf-life; Traditional leafy vegetables",,Article,"Final","",Scopus,2-s2.0-85037702581
"Ribeiro Nunes L.J., De Oliveira Matias J.C., Da Silva Catalao J.P.","55767139100;56015094400;57204848031;","Torrefaction of Biomass for Energy Applications: From Fundamentals to Industrial Scale",2017,"Torrefaction of Biomass for Energy Applications: From Fundamentals to Industrial Scale",,,,"1","245",,18,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042298778&partnerID=40&md5=ad59ba07c5dd29e1340afd8473beb803","Department of Economics, Management, Industrial Engineering, and Tourism (DEGEIT), University of Aveiro, Portugal; GOVCOPP, Portugal; SMAI - Instituto Superior da Maia, Portugal; Agrarian Higher School, Polytechnic Institute of Viana do Castelo, Portugal; C-MAST/UBI, Portugal; Faculty of Engineering, University of Porto (FEUP), Porto, Portugal; INESC TEC, Portugal; INESC-ID/IST-UL, Portugal","Ribeiro Nunes, L.J., Department of Economics, Management, Industrial Engineering, and Tourism (DEGEIT), University of Aveiro, Portugal, GOVCOPP, Portugal, SMAI - Instituto Superior da Maia, Portugal, Agrarian Higher School, Polytechnic Institute of Viana do Castelo, Portugal; De Oliveira Matias, J.C., Department of Economics, Management, Industrial Engineering, and Tourism (DEGEIT), University of Aveiro, Portugal, GOVCOPP, Portugal, C-MAST/UBI, Portugal; Da Silva Catalao, J.P., C-MAST/UBI, Portugal, Faculty of Engineering, University of Porto (FEUP), Porto, Portugal, INESC TEC, Portugal, INESC-ID/IST-UL, Portugal","Torrefaction of Biomass for Energy Applications: From Fundamentals to Industrial Scale explores the processes, technology, end-use, and economics involved in torrefaction at the industrial scale for heat and power generation. Its authors combine their industry experience with their academic expertise to provide a thorough overview of the topic. Starting at feedstock pretreatment, followed by torrefaction processes, the book includes plant design and operation, safety aspects, and case studies focusing on the needs and challenges of the industrial scale. Commercially available technologies are examined and compared, and their economical evaluation and life cycle assessment are covered as well. Attention is also given to non-woody feedstock, alternative applications, derived fuels, recent advances, and expected future developments. For its practical approach, this book is ideal for professionals in the biomass industry, including those in heat and power generation. It is also a useful reference for researchers and graduate students in the area of biomass and biofuels, and for decision makers, policy makers, and analysts in the energy field. Compares efficiency and performance of different commercially available technologies from the practical aspects of daily operation in an industrial scale plant. Presents a cost analysis of the production, logistics, and storage of torrefied biomass. Includes case studies addressing challenges that may occur in the daily operation in an industrial scale plant. Covers other associated technologies, the densification of torrefied biomass, and non-woody feedstock. © 2018 Elsevier Inc. All rights reserved.",,,Book,"Final","",Scopus,2-s2.0-85042298778
"Guerra M.","57055008900;","A hybrid approach to energy storage",2017,"Electronic Design","65","11",,"15","16",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044533778&partnerID=40&md5=7a5bf1a2f4a48a93734e1b95c4391cf8",,"Guerra, M.",[No abstract available],,,Short Survey,"Final","",Scopus,2-s2.0-85044533778
"Proctor D., Patel S.","57195424078;35211241900;","POWER Digest: UK Begins operating first subsidy-free solar farm",2017,"Power","161","11",,"","",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85035149589&partnerID=40&md5=020f71a4dfeac3ee8d11ea3347a46d12",,"Proctor, D.; Patel, S.","On 09/26/2017, Clayhill solar farm, the UK's first subsidy-free solar farm started operations in Milton Keynes. Developer Anesco put up the 45-acre project that features 10 MW of solar photovoltaic and five energy storage units of 6 MW.",,,Note,"Final","",Scopus,2-s2.0-85035149589
"Harvey A.L.","57194381783;","Scotland to press ahead with CCS in response to UK inaction",2017,"Power","161","11",,"","",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85035132899&partnerID=40&md5=2646b5a22d7f81b2a1e75ca51e2930fb",,"Harvey, A.L.","The UK dropped the ball on carbon capture and storage (CCS) development and Scotland intends to pick it up. Scotland is in an ideal position to lead on CCS development in Europe. To meet its goal, Scotland will provide 100,000 to help fund the feasibility stage of the Acorn Project, a minimum viable full-chain CCS project in the works at St Fergus in Aberdeenshire. The project will repurpose an existing gas sweetening plant with an existing offshore pipeline. CO2DeepStore is developing the project. Pale Blue Dot Energy has been contracted to lead the project alongside research partner Bellona and academic partners Scottish Carbon Capture and Storage, the University of Liverpool, and the Radboud University.",,,Note,"Final","",Scopus,2-s2.0-85035132899
