Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Open Access,Source,EID
"Amereh M., Khozani Z.S., Kazemi A.","57199677609;56898937400;24463359400;","Multi objective design of stand -Alone PV/wind energy system by using hybrid GA and PSO",2014,"22nd Iranian Conference on Electrical Engineering, ICEE 2014",,,"6999628","695","699",,4,"10.1109/IranianCEE.2014.6999628","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84943809985&doi=10.1109%2fIranianCEE.2014.6999628&partnerID=40&md5=1d89c52af24773965efeacfdea8e3722","Department of Electrical Engineering, Iran University of Science and Technology, Tehran, 16846-13114, Iran","Amereh, M., Department of Electrical Engineering, Iran University of Science and Technology, Tehran, 16846-13114, Iran; Khozani, Z.S., Department of Electrical Engineering, Iran University of Science and Technology, Tehran, 16846-13114, Iran; Kazemi, A., Department of Electrical Engineering, Iran University of Science and Technology, Tehran, 16846-13114, Iran","In recent years, hybrid renewable energy systems have been considered much more for stand -Alone applications. In this paper, a new method has been introduced to obtain optimal size of hybrid energy system, including wind turbine (WT), photovoltaic (PV) panels and storage battery (SB). Optimization has considered two objective functions; total net present worth (TNPW) as cost function and energy index of reliability (EIR) as technical criteria. Because of complexity of problem and possibility of local minimum, a hybrid genetic algorithm (GA) and particle swarm optimization (PSO) is employed. First of all, by using GA, the possibility of local minimum reduces and after specified iterations, PSO is used to improve optimization's speed and local tuning ability. © 2015 IEEE.","genetic algorithm; hybrid algorithm; multiobjective optimization; particle swarm optimization; photovoltaic panel; renewable energy; wind turbine","Cost functions; Electric power supplies to apparatus; Genetic algorithms; Multiobjective optimization; Photovoltaic cells; Renewable energy resources; Wind turbines; Hybrid algorithms; Hybrid energy system; Hybrid genetic algorithms; Hybrid renewable energy systems; Multi-objective design; Photovoltaic panels; Renewable energies; Standalone applications; Particle swarm optimization (PSO)",Conference Paper,"Final","",Scopus,2-s2.0-84943809985
"Javid A., Ghafari M., Akbari T., Taheri H.","55372101100;55371457600;36026749400;55347870700;","Distributed generation expansion based on a multi-objective mathematical programming approach",2014,"22nd Iranian Conference on Electrical Engineering, ICEE 2014",,,"6999617","628","635",,,"10.1109/IranianCEE.2014.6999617","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84943755171&doi=10.1109%2fIranianCEE.2014.6999617&partnerID=40&md5=6b279032d6492669907ac94e4d6bd249","Great Tehran Electrical Distribution Company, Tehran, Iran; Department of Electrical Engineering, Pooyesh University, Qom, Iran; School of Electrical and Computer Engineering, Tehran University, Tehran, Iran","Javid, A., Great Tehran Electrical Distribution Company, Tehran, Iran; Ghafari, M., Great Tehran Electrical Distribution Company, Tehran, Iran; Akbari, T., Department of Electrical Engineering, Pooyesh University, Qom, Iran; Taheri, H., School of Electrical and Computer Engineering, Tehran University, Tehran, Iran","Due to the increase in electricity energy consumption and the crisis has been caused by greenhouse gases (GHG), it is now inevitable to use renewable energy. This would mainly be achieved by means of micro-grid that includes aggregated control of some Distributed Generation (DG) units that are grid connected and near the load. Therefore investing for installing new DGs in a micro-grid is needed. This paper investigates DG expansion planning for a micro-grid. A new method is presented employing a multi-objective mathematical programming (MMP) approach. The solution method is based on the augmented ε-constraint method. An illustrative example including a wind turbine, a photovoltaic, an electric vehicle, a heat storage tank and a μCHP has been studied in this paper. The results show the efficiency of the proposed method. © 2015 IEEE.","augmented ε-constraint; DG expansion planning; micro-grid; multi-objective mathematical programming (MMP); risk management","Energy utilization; Greenhouse gases; Heat storage; Mathematical programming; Risk management; Wind turbines; Distributed generation units; Epsilon-constraint method; Expansion planning; Greenhouse gases (GHG); Heat storage tanks; Micro grid; Multi-objective mathematical programming; Renewable energies; Distributed power generation",Conference Paper,"Final","",Scopus,2-s2.0-84943755171
"Moghadas M., Hashemi M.R.","57204508271;7005774450;","Unified energy aware mapping of multimedia applications on media cloud infrastructure",2014,"22nd Iranian Conference on Electrical Engineering, ICEE 2014",,,"6999663","897","902",,1,"10.1109/IranianCEE.2014.6999663","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84940977821&doi=10.1109%2fIranianCEE.2014.6999663&partnerID=40&md5=834f9c01363687608bc70841f3e15f78","Multimedia Processing Laboratory, College of Engineering, University of Tehran, Iran","Moghadas, M., Multimedia Processing Laboratory, College of Engineering, University of Tehran, Iran; Hashemi, M.R., Multimedia Processing Laboratory, College of Engineering, University of Tehran, Iran","Media clouds provide an infrastructure for distributed processing and storage of multimedia applications. Each device in the media cloud is usually a mobile system consisting of several heterogeneous Processing Elements (PE). Energy efficiency has always been a challenge in this environment. In this paper, we propose a unified energy efficient algorithm for mapping multimedia applications on a media cloud infrastructure. The algorithm considers the distribution of tasks at two levels: among devices in the cloud and PEs of each device. The proposed algorithm heuristically finds the most energy efficient device for each task at the first stage. In the second stage, the least energy consuming PE among all available PEs is chosen for mapping. The efficiency of the proposed scheme has been evaluated by mapping H.264/AVC decoder on a media cloud. Simulation results indicate that by offloading application tasks on more power efficient PEs, the overall energy consumption for this application would be reduced by up to 12 times in a typical scenario in comparison to local processing. Meanwhile, the performance of the heuristic has been compared to the optimal solution. © 2015 IEEE.","Mapping algorithms; Media Cloud; MPSoC; Multimedia application","Conformal mapping; Energy utilization; Power management; System-on-chip; Distributed processing; Energy efficient algorithms; H.264/AVC decoders; Heterogeneous processing; Mapping algorithms; Media clouds; MPSoC; Multimedia applications; Energy efficiency",Conference Paper,"Final","",Scopus,2-s2.0-84940977821
"Shakarami M.R., Sedaghati R., Haddadi M.B.","18134688900;55371333500;56407026900;","Analysis and control of STATCOM/SMES compensator in a load variation conditions",2014,"Advances in Electrical and Electronic Engineering","12","5",,"407","415",,,"10.15598/aeee.v12i5.1130","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84920168100&doi=10.15598%2faeee.v12i5.1130&partnerID=40&md5=789531e169703163b7e2463a861cc4df","Department of Electrical and Electronic Engineering, Lorestan University, Daneshgat Street, Khoramabad, Lorestan  71234-98653, Iran; Department of Electrical Engineering, School of Engineering, Shiraz University, Bahar Azadi Street, Kazeroon, Shiraz, 73159-88553, Iran","Shakarami, M.R., Department of Electrical and Electronic Engineering, Lorestan University, Daneshgat Street, Khoramabad, Lorestan  71234-98653, Iran; Sedaghati, R., Department of Electrical and Electronic Engineering, Lorestan University, Daneshgat Street, Khoramabad, Lorestan  71234-98653, Iran; Haddadi, M.B., Department of Electrical Engineering, School of Engineering, Shiraz University, Bahar Azadi Street, Kazeroon, Shiraz, 73159-88553, Iran","The utilization of Flexible AC Transmission System (FACTS) devices in a power system can potentially overcome limitations of the present mechanically controlled transmission system. Also, the advanced technology makes it possible to include new energy storage devices in the electrical power system. The integration of Superconducting Magnetic Energy Storage (SMES) into Static Synchronous Compensator (STAT-COM) can lead to increase their flexibility to improve power system dynamic behavior by exchanging both active and reactive powers with power grids. This paper describes structure and behavior of STATCOM/SMES compensator in power systems. A control strategy based on direct Lyapanov method for compensator is used. Moreover, the performance of the STATCOM/SMES compensator in a load variation condition is evaluated by PSCAD/EMTDC software in test system. Also, SMES capacity effects on integrated compensator are investigated. © 2014 ADVANCES IN ELECTRICAL AND ELECTRONIC ENGINEERING.","Direct Lyapanov method; Load variation condition; SMES capacity; STATCOm/SMES compensator",,Article,"Final","",Scopus,2-s2.0-84920168100
"Leite C.F., Rombaldi A.J.","55837916500;25644931800;","Effect of carbohydrate intake and physical exercise on glycogen concentration [Efeito de consumo de carboidrato e de exercício físico sobre a concentração de glicogênio]",2014,"Revista Brasileira de Cineantropometria e Desempenho Humano","17","1",,"62","72",,1,"10.5007/1980-0037.2015v17n1p62","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84920477113&doi=10.5007%2f1980-0037.2015v17n1p62&partnerID=40&md5=e4c55b2bb0522ecedecb62885e36cc0f","Instituto Federal de Educação, Ciência e Tecnologia Sul-rio-gran-dense, PelotasRS, Brazil; Universidade Federal de Pelotas, Escola Superior de Educação Física, Grupo de Estudos em Epidemiologia da Atividade Física, PelotasRS, Brazil","Leite, C.F., Instituto Federal de Educação, Ciência e Tecnologia Sul-rio-gran-dense, PelotasRS, Brazil; Rombaldi, A.J., Universidade Federal de Pelotas, Escola Superior de Educação Física, Grupo de Estudos em Epidemiologia da Atividade Física, PelotasRS, Brazil","Carbohydrate is an important source of energy which is stored as glycogen. Since this storage may be related to the use of sports drinks, this study evaluated the changes in liver, skeletal muscle and kidney glycogen content of rats supplemented with maltodextrin and submitted to aerobic exercise at maximum lactate steady state or high-intensity anaerobic exercise. Sixty-nine male Wistar rats, 60 days old at the beginning of the experiment, were used. The training protocol consisted of 8 weeks of continuous aerobic (60 min/day) or intermittent swimming (two periods of 30 min/day at an interval of 10 min and an exercise/rest ratio of 15 seconds), with overloads corresponding to 5% and 10% of body weight, respectively. The animals were supplemented for 37 days with a daily dose of 0.48 g/kg maltodextrin dissolved in water or received pure water. Factorial ANOVA or the Kruskal-Wallis test was used for data analysis. Aerobic training resulted in a significant increase in blood glucose (p<0.02) and in a decline in hepatic glycogen content (p<0.02), while anaerobic exercise promoted a significant increase in lactate concentration (p<0.001) and a decrease in skeletal muscle (p=0.02) and kidney (p<0.03) glycogen content. Maltodextrin supplementation significantly increased muscle (p=0.008) and kidney (p<0.02) glycogen content in rats submitted to aerobic exercise. Eight weeks of aerobic and anaerobic exercise caused changes in liver, skeletal muscle and kidney glycogen content, as well as in blood glucose and blood lactate. Maltodextrin supplementation was effective in increasing skeletal muscle and kidney glycogen stores in rats submitted to aerobic exercise. © 2015, Universidade Federal de Santa Catarina. All rights reserved.","Energetic metabolism; Fatigue; Glycogen; Wistar rats",,Article,"Final","",Scopus,2-s2.0-84920477113
"Olsson H., Strømme M., Nyholm L., Sjödin M.","57196564188;56249828500;7003783893;6602489917;","Activation barriers provide insight into the mechanism of self-discharge in polypyrrole",2014,"Journal of Physical Chemistry C","118","51",,"29643","29649",,15,"10.1021/jp510690p","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84949115533&doi=10.1021%2fjp510690p&partnerID=40&md5=825571592ace722f2e1e6c96618fa0e8","Nanotechnology and Functional Materials, Ångström Laboratory, Uppsala University, Uppsala, 751 21, Sweden; Department of Chemistry Ångström, Ångström Laboratory, Uppsala University, Uppsala, 751 21, Sweden","Olsson, H., Nanotechnology and Functional Materials, Ångström Laboratory, Uppsala University, Uppsala, 751 21, Sweden; Strømme, M., Nanotechnology and Functional Materials, Ångström Laboratory, Uppsala University, Uppsala, 751 21, Sweden; Nyholm, L., Department of Chemistry Ångström, Ångström Laboratory, Uppsala University, Uppsala, 751 21, Sweden; Sjödin, M., Nanotechnology and Functional Materials, Ångström Laboratory, Uppsala University, Uppsala, 751 21, Sweden","Conducting polymers are envisioned to play a significant role in the development of organic matter based electrical energy conversion and storage systems. However, successful utilization of conducting polymers relies on a fundamental understanding of their inherent possibilities and limitations. In this report we studied the temperature dependence of the self-discharge in polypyrrole and show that the rate of self-discharge is kinetically controlled by a polymer intrinsic endergonic electron transfer reaction forming a reactive intermediate. We further show that this intermediate is intimately linked to a process known as overoxidation. This process is general for most, if not all, p-doped conducting polymers irrespective of medium. The results herein are therefore expected to significantly impact the development of future energy storage systems with conducting polymer based components. © 2014 American Chemical Society.",,"Polypyrroles; Reaction intermediates; Temperature distribution; Activation barriers; Electrical energy; Electron-transfer reactions; Future energies; Kinetically controlled; Reactive intermediate; Self-discharges; Temperature dependence; Conducting polymers",Article,"Final","",Scopus,2-s2.0-84949115533
"Peng Y.-J., Wu T.-H., Hsu C.-T., Li S.-M., Chen M.-G., Hu C.-C.","56402205000;55413072500;57139162200;36716514300;56402030200;7404571017;","Electrochemical characteristics of the reduced graphene oxide/carbon nanotube/polypyrrole composites for aqueous asymmetric supercapacitors",2014,"Journal of Power Sources","272",,,"970","978",,66,"10.1016/j.jpowsour.2014.09.022","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84908537687&doi=10.1016%2fj.jpowsour.2014.09.022&partnerID=40&md5=64cb2fabd1a958eaedde0e019e425efc","Laboratory of Electrochemistry and Advanced Materials, Department of Chemical Engineering, National Tsing Hua University, Hsin-Chu, 30013, Taiwan","Peng, Y.-J., Laboratory of Electrochemistry and Advanced Materials, Department of Chemical Engineering, National Tsing Hua University, Hsin-Chu, 30013, Taiwan; Wu, T.-H., Laboratory of Electrochemistry and Advanced Materials, Department of Chemical Engineering, National Tsing Hua University, Hsin-Chu, 30013, Taiwan; Hsu, C.-T., Laboratory of Electrochemistry and Advanced Materials, Department of Chemical Engineering, National Tsing Hua University, Hsin-Chu, 30013, Taiwan; Li, S.-M., Laboratory of Electrochemistry and Advanced Materials, Department of Chemical Engineering, National Tsing Hua University, Hsin-Chu, 30013, Taiwan; Chen, M.-G., Laboratory of Electrochemistry and Advanced Materials, Department of Chemical Engineering, National Tsing Hua University, Hsin-Chu, 30013, Taiwan; Hu, C.-C., Laboratory of Electrochemistry and Advanced Materials, Department of Chemical Engineering, National Tsing Hua University, Hsin-Chu, 30013, Taiwan","Polypyrrole (PPy) has been polymerized onto reduced graphene oxide/carbon nanotube (rGO/CNT) to form an rGO/CNT/PPy composite using the chemical oxidation method. The electrochemical characteristics of the above composite in various aqueous electrolytes are systematically compared for the asymmetric supercapacitor application. The electrochemical characteristics of rGO/CNT/PPy in the electrolytes containing K+ show improved reversibility and higher stability. Introducing XC-72 in preparing the electrode has been found to enhance the specific capacitance and the cycle stability of rGO/CNT/PPy. The charge storage stability of rGO/CNT/PPy + XC-72 in various potential windows has been evaluated through the potential bias stress test. An asymmetric supercapacitor (ASC) with a positive electrode of Mn3O4 and a negative electrode of rGO/CNT/PPy + XC-72 is successfully demonstrated, which shows specific energy and power of 14.Wh kg-1 and 6.62 kW kg-1 with a cell voltage of 1.6 V. This ASC with a cell voltage of 1.6 V shows excellent charge-discharge cycle stability and ideal capacitive behavior in NaNO3 even after the application of 3250 charge-discharge cycles. © 2014 Elsevier B.V. All rights reserved.","Aqueous electrolyte; Asymmetric supercapacitor; Carbon black; Polypyrrole; Reduced graphene oxide/carbon nanotube","Polypyrroles; Aqueous electrolyte; Asymmetric supercapacitor; Electrochemical characteristics; Reduced graphene oxides; Carbon black",Article,"Final","",Scopus,2-s2.0-84908537687
"Tammela P., Olsson H., Strømme M., Nyholm L.","56150596900;57196564188;56249828500;7003783893;","The influence of electrode and separator thickness on the cell resistance of symmetric cellulose-polypyrrole-based electric energy storage devices",2014,"Journal of Power Sources","272",,,"468","475",,23,"10.1016/j.jpowsour.2014.08.041","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84907212674&doi=10.1016%2fj.jpowsour.2014.08.041&partnerID=40&md5=ce4c94cd29c0a3501af91cf455312869","Nanotechnology and Functional Materials, Department of Engineering Sciences, Uppsala University, Box 534, Uppsala, SE-751 21, Sweden; Department of Chemistry - Ångström, Ångström Laboratory, Uppsala University, Box 538, Uppsala, SE-751 21, Sweden","Tammela, P., Nanotechnology and Functional Materials, Department of Engineering Sciences, Uppsala University, Box 534, Uppsala, SE-751 21, Sweden; Olsson, H., Nanotechnology and Functional Materials, Department of Engineering Sciences, Uppsala University, Box 534, Uppsala, SE-751 21, Sweden; Strømme, M., Nanotechnology and Functional Materials, Department of Engineering Sciences, Uppsala University, Box 534, Uppsala, SE-751 21, Sweden; Nyholm, L., Department of Chemistry - Ångström, Ångström Laboratory, Uppsala University, Box 538, Uppsala, SE-751 21, Sweden","The influence of the cell design of symmetric polypyrrole and cellulose-based electric energy storage devices on the cell resistance was investigated using chronopotentiometric and ac impedance measurements with different separator and electrode thicknesses. The cell resistance was found to be dominated by the electrolyte and current collector resistances while the contribution from the composite electrode material was negligible. Due to the electrolyte within the porous electrodes thin separators could be used in combination with thick composite electrodes without loss of performance. The paper separator contributed with a resistance of ∼1.5 Ω mm-1in a 1.0 M NaNO3electrolyte and the tortuosity value for the separator was about 2.5. The contribution from the graphite foil current collectors was about ∼0.4-1.1 Ω and this contribution could not be reduced by using platinum foil current collectors due to larger contact resistances. The introduction of chopped carbon fibres into the electrode material or the application of pressure across the cells, however, decreased the charge transfer resistance significantly. As the present results demonstrate that cells with higher charge storage capacities but with the same cell resistance can be obtained by increasing the electrode thickness, the development of paper based energy storage devices is facilitated. © 2014 Elsevier B.V. All rights reserved.","Cell resistance; Composite; Polypyrrole; Separator thickness; Supercapacitor","Cellulose; Charge transfer; Composite materials; Electric current collectors; Electrolytes; Energy storage; Polypyrroles; Separators; Storage (materials); Supercapacitor; AC impedance measurement; Cell resistance; Charge storage capacity; Charge transfer resistance; Composite electrode; Electrode material; Electrode thickness; Loss of performance; Electrodes; Cellulose; Composites; Electricity; Electrodes; Electrolytes; Paper",Article,"Final","",Scopus,2-s2.0-84907212674
"Jiang M.C., Perng S.S., Shih B.J., Liu T.C., Ke W.C.","7401860992;35995722800;55597527100;56251935000;56492311700;","A high performance three-phase active power filter",2014,"Proceedings - 2014 10th International Conference on Intelligent Information Hiding and Multimedia Signal Processing, IIH-MSP 2014",,,"6998460","848","851",,,"10.1109/IIH-MSP.2014.214","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84921675316&doi=10.1109%2fIIH-MSP.2014.214&partnerID=40&md5=569ec2185659555723003504b957e9bc","Department of Electrical Engineering, National Ilan University, Yilan, Taiwan","Jiang, M.C., Department of Electrical Engineering, National Ilan University, Yilan, Taiwan; Perng, S.S., Department of Electrical Engineering, National Ilan University, Yilan, Taiwan; Shih, B.J., Department of Electrical Engineering, National Ilan University, Yilan, Taiwan; Liu, T.C., Department of Electrical Engineering, National Ilan University, Yilan, Taiwan; Ke, W.C., Department of Electrical Engineering, National Ilan University, Yilan, Taiwan","A high performance three-phase active power filter is proposed in this paper. A novel circuit for detecting the amplitude of the active part of the fundamental load current is also proposed. The detection time of the current is not more than 1/4 cycle. Its transient response is superior to the other conventional techniques. Moreover, the proposed algorithm avoids the use of mains voltage signal in the calculation of reference compensation current. Therefore, the mains current after compensation still has a purely sinusoidal waveform even when the mains voltage is distorted. In addition, a simple control scheme, based on the energy balance concept, is proposed to control the voltage of an energy-storage capacitor. Because the energy change in the energy-storage capacitor can be fast compensated, a small energy-storage capacitor is required. The advantages of the proposed active power filter are low cost, small size and fast transient response. Finally, some simulation results are presented for verification. © 2014 IEEE.","active power filter; energy balance; energy-storage capacitor","Energy balance; Energy storage; Power control; Signal processing; Transient analysis; Active power Filter; Control schemes; Conventional techniques; Energy storage capacitor; Fast transient response; Reference compensation currents; Sinusoidal waveforms; Voltage signals; Active filters",Conference Paper,"Final","",Scopus,2-s2.0-84921675316
"Wadell C., Syrenova S., Langhammer C.","37018899400;56087879700;57204330552;","Plasmonic hydrogen sensing with nanostructured metal hydrides",2014,"ACS Nano","8","12",,"11925","11940",,132,"10.1021/nn505804f","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84919725921&doi=10.1021%2fnn505804f&partnerID=40&md5=075ccd17c4026abd6c82ee74225b7689","Department of Applied Physics, Chalmers University of Technology, Göteborg, 412 96, Sweden","Wadell, C., Department of Applied Physics, Chalmers University of Technology, Göteborg, 412 96, Sweden; Syrenova, S., Department of Applied Physics, Chalmers University of Technology, Göteborg, 412 96, Sweden; Langhammer, C., Department of Applied Physics, Chalmers University of Technology, Göteborg, 412 96, Sweden","In this review, we discuss the evolution of localized surface plasmon resonance and surface plasmon resonance hydrogen sensors based on nanostructured metal hydrides, which has accelerated significantly during the past 5 years. We put particular focus on how, conceptually, plasmonic resonances can be used to study metal-hydrogen interactions at the nanoscale, both at the ensemble and at the single-nanoparticle level. Such efforts are motivated by a fundamental interest in understanding the role of nanosizing on metal hydride formation processes in the quest to develop efficient solid-state hydrogen storage materials with fast response times, reasonable thermodynamics, and acceptable long-term stability. Therefore, a brief introduction to the thermodynamics of metal hydride formation is also given. However, plasmonic hydrogen sensors not only are of academic interest as research tool in materials science but also are predicted to find more practical use as all-optical gas detectors in industrial and medical applications, as well as in a future hydrogen economy, where hydrogen is used as a carbon free energy carrier. Therefore, the wide range of different plasmonic hydrogen sensor designs already available is reviewed together with theoretical efforts to understand their fundamentals and optimize their performance in terms of sensitivity. In this context, we also highlight important challenges to be addressed in the future to take plasmonic hydrogen sensors from the laboratory to real applications in devices, including poisoning/deactivation of the active materials, sensor lifetime, and cross-sensitivity toward other gas species. © 2014 American Chemical Society.","hydrogen; localized surface plasmon resonance; metal hydride; nanoparticles; nanowires; palladium; sensing; sensors; surface plasmon resonance","Free energy; Hydrides; Hydrogen; Hydrogen economy; Hydrogen storage; Industrial research; Medical applications; Metal nanoparticles; Metals; Nanoparticles; Nanostructured materials; Nanowires; Oil field equipment; Palladium; Plasmonic nanoparticles; Plasmons; Resonance; Sensors; Localized surface plasmon resonance; Long term stability; Metal hydrides; Nanostructured metals; Plasmonic resonances; sensing; Single nanoparticle; Solid-state hydrogen storage; Surface plasmon resonance",Review,"Final","",Scopus,2-s2.0-84919725921
