Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Open Access,Source,EID
"Goldmünz E., Aserin A., Garti N.","57212133212;7004571081;7005289095;","Temperature-sensitive properties of occluded hydration centers in direct hexagonal (HI) mesophases",2021,"Colloids and Surfaces A: Physicochemical and Engineering Aspects","631",,"127709","","",,,"10.1016/j.colsurfa.2021.127709","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85117416514&doi=10.1016%2fj.colsurfa.2021.127709&partnerID=40&md5=9ad96cc1c96ef962c542da46775be311","The Casali Center for Applied Chemistry, The Institute of Chemistry, The Hebrew University of Jerusalem, Edmond J. Safra Campus, Jerusalem, 9190401, Israel","Goldmünz, E., The Casali Center for Applied Chemistry, The Institute of Chemistry, The Hebrew University of Jerusalem, Edmond J. Safra Campus, Jerusalem, 9190401, Israel; Aserin, A., The Casali Center for Applied Chemistry, The Institute of Chemistry, The Hebrew University of Jerusalem, Edmond J. Safra Campus, Jerusalem, 9190401, Israel; Garti, N., The Casali Center for Applied Chemistry, The Institute of Chemistry, The Hebrew University of Jerusalem, Edmond J. Safra Campus, Jerusalem, 9190401, Israel","Temperature-induced structural transformations of a direct hexagonal mesophase were investigated by SAXS, rheology, DSC, and NMR. The investigated mesophase region consists of two distinct direct hexagonal structures. The primary structure, detected at lower water content (33.0–39.0 wt%, 25 °C), is oriented as a bidiscontinuous assembly; it is composed of “occluded hydration centers” (OHCs) and direct surfactant-oil aggregates. The secondary structure, detected at higher water content (39.5–42.5 wt% water, 25 °C), is composed of an unbound water continuous phase and direct surfactant-oil aggregates. The OHCs within the bidiscontinuous mesophase were found to enhance the mesophase's order (correlation length (ξ)) and storage modulus (G′). The content of the unbound water occluded within the OHCs is temperature dependent, due to the ethoxylates’ water binding properties. At temperatures below 18 °C, the water in the bidiscontinuous mesophase (<39.0 wt% water) remains bound, resulting in a decreased mesophase order (correlation length (ξ)) and storage modulus (G′). Elevated temperatures increase the unbound water content, causing the unbound water domains to swell. Above the critical swelling point, the unbound water domains interlink to form a continuous phase, reducing the systems’ range order (ξ) and the storage modulus (G′). Better understanding the temperature dependence of the direct hexagonal mesophase enables mapping of the critical factors affecting the controlled delivery vehicles for non-bioavailable drugs. © 2021","Bidiscontinuous; Ethoxylated surfactants; Hexagonal mesophase; Hydration centers; Lyotropic liquid crystals; Temperature sensitive","Aggregates; Binding energy; Elastic moduli; Liquid crystals; Surface active agents; Temperature distribution; Bidiscontinuous; Continuous phase; Correlation lengths; Ethoxylated surfactants; Hexagonal mesophases; Hydration center; Lyotropic liquid crystal; Mesophase ordering; Mesophases; Temperature sensitive; Hydration",Article,"Final","",Scopus,2-s2.0-85117416514
"Murillo H.A., Díaz-Robles L.A., Santander R.E., Cubillos F.A.","57224516029;23060179200;6603921685;6603422314;","Conversion of residual oat husk and pine sawdust by co-hydrothermal carbonization towards biofuel production for pellet stoves",2021,"Industrial Crops and Products","174",,"114219","","",,,"10.1016/j.indcrop.2021.114219","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118484481&doi=10.1016%2fj.indcrop.2021.114219&partnerID=40&md5=248cfd2e3ecb986dc8c0b16073fe76d8","Departamento de Ingeniería Química, Universidad de Santiago de Chile, Chile; Programa Centro de Valorización de Residuos y Economía Circular, Universidad de Santiago de Chile, Chile; Departamento de Ingeniería Mecánica, Universidad de Santiago de Chile, Chile","Murillo, H.A., Departamento de Ingeniería Química, Universidad de Santiago de Chile, Chile, Programa Centro de Valorización de Residuos y Economía Circular, Universidad de Santiago de Chile, Chile; Díaz-Robles, L.A., Departamento de Ingeniería Química, Universidad de Santiago de Chile, Chile, Programa Centro de Valorización de Residuos y Economía Circular, Universidad de Santiago de Chile, Chile; Santander, R.E., Departamento de Ingeniería Mecánica, Universidad de Santiago de Chile, Chile; Cubillos, F.A., Departamento de Ingeniería Química, Universidad de Santiago de Chile, Chile, Programa Centro de Valorización de Residuos y Economía Circular, Universidad de Santiago de Chile, Chile","Due to the impact of household wood-burning on air quality and the controversy related to its carbon neutrality, the development of cleaner technologies is highly required. Valorization of agro-waste emerges as a potential strategy to cover the demand for wood-based fuels partially. Oat husk (OH) is a widely available waste, and its combination with pine sawdust (PS) can be a suitable alternative towards biofuel production. In this work, the conversion of OH-PS mixtures via hydrothermal carbonization (HTC) was investigated. Optimization of HTC process parameters in terms of mixing ratio (21.7–78.3% of OH loading) and reaction temperature (164.6–235.4 °C) was performed using the response surface methodology to maximize hydrochar yield (HY) and higher heating value (HHV) and to minimize ash content (AC). The optimal hydrochar was obtained at 21.7% OH and 228.3 °C after the responses were simultaneously optimized. Remarkably, the application of the optimized hydrochar was evaluated by combustion tests using a domestic pellet stove. Results revealed decreased emissions from incomplete combustion such as CO and particulate matter, far lower than local and global requirements. Besides, hydrochar pellets also exhibited decreased moisture uptake and enhanced durability, facilitating transportation and storage, especially when facing adverse conditions. These findings demonstrate the valorization of residual biomass via HTC is a viable approach to tackle the air pollution control associated with residential heating. © 2021 Elsevier B.V.","Hydrochar combustion; Hydrothermal carbonization; Residential combustion; Response surface methodology; Waste biomass valorization","Air quality; Biofuels; Carbonization; Heating; Housing; Surface properties; Thermochemistry; Waste incineration; Biofuel production; Biomass valorizations; Hydrochar combustion; Hydrothermal carbonization; Oat husks; Pine sawdust; Residential combustion; Response-surface methodology; Waste biomass; Waste biomass valorization; Pelletizing; air quality; alternative energy; atmospheric pollution; biofuel; hydrothermal activity; pine; pollution control; response surface methodology",Article,"Final","",Scopus,2-s2.0-85118484481
"Shrestha R., Černoušek T., Stoulil J., Kovářová H., Sihelská K., Špánek R., Ševců A., Steinová J.","57202643158;57191610890;47062186900;7003901588;57212314506;15835896500;54581657600;54960935100;","Anaerobic microbial corrosion of carbon steel under conditions relevant for deep geological repository of nuclear waste",2021,"Science of the Total Environment","800",,"149539","","",,2,"10.1016/j.scitotenv.2021.149539","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112352405&doi=10.1016%2fj.scitotenv.2021.149539&partnerID=40&md5=a9481bf0301d9d672efccc4ece23730e","Institute for Nanomaterials, Advanced Technologies and Innovations, Technical University of Liberec, Bendlova 1407/7, 1, Liberec, 461 17, Czech Republic; Research Center Řež, Department of Nuclear Fuel Cycle, Husinec-Řež 13025068, Czech Republic; University of Chemistry and Technology, Department of Metals and Corrosion Engineering, Technická 5, Prague, 166 28, Czech Republic; Department of Botany, Faculty of Science, Charles University in Prague, Benátská 2, Prague, 128 01, Czech Republic","Shrestha, R., Institute for Nanomaterials, Advanced Technologies and Innovations, Technical University of Liberec, Bendlova 1407/7, 1, Liberec, 461 17, Czech Republic; Černoušek, T., Research Center Řež, Department of Nuclear Fuel Cycle, Husinec-Řež 13025068, Czech Republic; Stoulil, J., University of Chemistry and Technology, Department of Metals and Corrosion Engineering, Technická 5, Prague, 166 28, Czech Republic; Kovářová, H., Research Center Řež, Department of Nuclear Fuel Cycle, Husinec-Řež 13025068, Czech Republic; Sihelská, K., Research Center Řež, Department of Nuclear Fuel Cycle, Husinec-Řež 13025068, Czech Republic; Špánek, R., Institute for Nanomaterials, Advanced Technologies and Innovations, Technical University of Liberec, Bendlova 1407/7, 1, Liberec, 461 17, Czech Republic; Ševců, A., Institute for Nanomaterials, Advanced Technologies and Innovations, Technical University of Liberec, Bendlova 1407/7, 1, Liberec, 461 17, Czech Republic; Steinová, J., Institute for Nanomaterials, Advanced Technologies and Innovations, Technical University of Liberec, Bendlova 1407/7, 1, Liberec, 461 17, Czech Republic, Department of Botany, Faculty of Science, Charles University in Prague, Benátská 2, Prague, 128 01, Czech Republic","We examined microbial corrosion of carbon steel in synthetic bentonite pore water inoculated with natural underground water containing microorganisms over a period of 780-days under sterile and anaerobic conditions. Corrosion behaviour was determined using the mass loss method, SEM-EDS analysis and Raman spectroscopy, while qualitative and quantitative changes in the microbial community were analysed using molecular-biological tools (16S rDNA amplicon sequencing and qPCR analysis, respectively). Corrosion rates were significantly higher in the biotic environment (compared with an abiotic environment), with significant localisation of corrosion attacks of up to 1 mm arising within 12-months. Nitrate reducing bacteria, such as Pseudomonas, Brevundimonas and Methyloversatilis, dominated the microbial consortium, the high abundance of Methyloversatilis correlating with periods of highest localised corrosion penetrations, suggesting that this bacterium plays an important role in microbially influenced corrosion. Our results indicate that nitrate-reducing bacteria could represent a potential threat to waste canisters under nuclear repository conditions. © 2021 Elsevier B.V.","Carbon steel; Methyloversatilis; Microbiological corrosion; Nitrate-reducing bacteria; Nitrates; Nuclear waste repository","Bentonite; Carbon steel; Corrosion rate; Corrosive effects; Freezing; Geological repositories; Groundwater; Microbial corrosion; Nitrates; Polymerase chain reaction; Radioactive waste storage; Radioactive wastes; Steel corrosion; Anaerobics; Condition; Deep geological repository; Methyloversatili; Microbial corrosion; Microbiological corrosion; Nitrate-reducing bacteria; Nuclear waste repositories; Pore waters; Sterile conditions; Bacteria; bentonite; carbon steel; ground water; steel; unclassified drug; carbon; bentonite; carbon; corrosion; microbial community; microbiology; microorganism; nitrate; radioactive waste; repository; steel; Article; Brevundimonas; chemical composition; controlled study; energy dispersive X ray spectroscopy; high throughput sequencing; Methyloversatilis; microbial community; microbial consortium; microbial corrosion; nitrate reducing bacterium; nonhuman; nuclear waste; nuclear waste repository; polymerase chain reaction; Pseudomonas; Raman spectrometry; scanning electron microscopy; anaerobic growth; corrosion; radioactive waste; Bacteria (microorganisms); Brevundimonas; Pseudomonas; Anaerobiosis; Carbon; Corrosion; Radioactive Waste; Steel",Article,"Final","",Scopus,2-s2.0-85112352405
"Jašek O., Toman J., Šnírer M., Jurmanová J., Kudrle V., Michalicka J., Všianský D., Pavlinák D.","55955711500;57193864469;56166844100;55659952600;6602364423;55993271000;56374661200;56226267000;","Microwave plasma-based high temperature dehydrogenation of hydrocarbons and alcohols as a single route to highly efficient gas phase synthesis of freestanding graphene",2021,"Nanotechnology","32","50","505608","","",,,"10.1088/1361-6528/ac24c3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85117128732&doi=10.1088%2f1361-6528%2fac24c3&partnerID=40&md5=2b2677836a92de1c24450cb36a552a54","Department of Physical Electronics, Faculty of Science, Masaryk University, Kotlarska 2, Brno, 611 37, Czech Republic; Central European Institute of Technology, Brno University of Technology, Purkynova 123, Brno, 612 00, Czech Republic; Department of Geological Sciences, Faculty of Science, Masaryk University, Kotlarska 2, Brno, 611 37, Czech Republic","Jašek, O., Department of Physical Electronics, Faculty of Science, Masaryk University, Kotlarska 2, Brno, 611 37, Czech Republic; Toman, J., Department of Physical Electronics, Faculty of Science, Masaryk University, Kotlarska 2, Brno, 611 37, Czech Republic; Šnírer, M., Department of Physical Electronics, Faculty of Science, Masaryk University, Kotlarska 2, Brno, 611 37, Czech Republic; Jurmanová, J., Department of Physical Electronics, Faculty of Science, Masaryk University, Kotlarska 2, Brno, 611 37, Czech Republic; Kudrle, V., Department of Physical Electronics, Faculty of Science, Masaryk University, Kotlarska 2, Brno, 611 37, Czech Republic; Michalicka, J., Central European Institute of Technology, Brno University of Technology, Purkynova 123, Brno, 612 00, Czech Republic; Všianský, D., Department of Geological Sciences, Faculty of Science, Masaryk University, Kotlarska 2, Brno, 611 37, Czech Republic; Pavlinák, D., Department of Physical Electronics, Faculty of Science, Masaryk University, Kotlarska 2, Brno, 611 37, Czech Republic","Understanding underlying processes behind the simple and easily scalable graphene synthesis methods enables their large-scale deployment in the emerging energy storage and printable device applications. Microwave plasma decomposition of organic precursors forms a high-temperature environment, above 3000 K, where the process of catalyst-free dehydrogenation and consequent formation of C2 molecules leads to nucleation and growth of high-quality few-layer graphene (FLG). In this work, we show experimental evidence that a high-temperature environment with a gas mixture of H2 and acetylene, C2H2, leads to a transition from amorphous to highly crystalline material proving the suggested dehydrogenation mechanism. The overall conversion efficiency of carbon to FLG reached up to 47%, three times as much as for methane or ethanol, and increased with increasing microwave power (i.e. with the size of the high-temperature zone) and hydrocarbon flow rate. The yield decreased with decreasing C:H ratio while the best quality FLG (low D/G-0.5 and high 2D/G-1.5 Raman band ratio) was achieved for C:H ratio of 1:3. The structures contained less than 1 at% of oxygen. No additional hydrogen was necessary for the synthesis of FLG from higher alcohols having the same stoichiometry, 1-propanol and isopropanol, but the yield was lower, 15%, and dependent on the atom arrangement of the precursor. The prepared FLG nanopowder was analyzed by scanning electron microscopy, Raman, x-ray photoelectron spectroscopy, and thermogravimetry. Microwave plasma was monitored by optical emission spectroscopy. © 2021 IOP Publishing Ltd.","dehydrogenation; graphene; growth mechanism; high temperature; microwave plasma","Dehydrogenation; Gases; Hydrocarbons; Microwaves; Optical emission spectroscopy; Scanning electron microscopy; Thermogravimetric analysis; X ray photoelectron spectroscopy; Device application; Few-layer graphene; Gas-phase synthesis; Growth mechanisms; High-temperature environment; Highest temperature; Large-scale deployment; Microwave plasma; Simple++; Synthesis method; Graphene",Article,"Final","",Scopus,2-s2.0-85117128732
"Karimadom B.R., Meyerstein D., Kornweitz H.","57224090228;7005754067;57217914578;","Calculating the adsorption energy of a charged adsorbent in a periodic metallic system-The case of BH4-hydrolysis on the Ag(111) surface",2021,"Physical Chemistry Chemical Physics","23","45",,"25667","25678",,1,"10.1039/d1cp03895h","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119153870&doi=10.1039%2fd1cp03895h&partnerID=40&md5=e359694ff55a39af221075c08ef0f8eb","Chemical Sciences Department, Ariel University, Ariel, Israel; Chemistry Department, Ben-Gurion University, Beer-Sheva, Israel","Karimadom, B.R., Chemical Sciences Department, Ariel University, Ariel, Israel; Meyerstein, D., Chemical Sciences Department, Ariel University, Ariel, Israel, Chemistry Department, Ben-Gurion University, Beer-Sheva, Israel; Kornweitz, H., Chemical Sciences Department, Ariel University, Ariel, Israel","The hydrolysis of borohydride on the Ag(111) surface is explored theoretically to obtain the in-depth reaction mechanism. Many heterogeneously catalyzed reactions like this involve the adsorption of charged species on metals. DFT calculations of charged systems, with periodic boundaries, face serious problems, concerning convergence and reliability of the results. To study the heterogeneously catalyzed reactions, a simple method to calculate the adsorption energy of charged systems in metallic periodic cells is proposed. In this method, a counter ion is placed at a non-interactive distance, in an aqueous medium, so that the calculated system is neutral. Bader analysis is used to validate that the calculated couple is charged correctly. Adsorption energies of F-, Cl-, Br-, OH-, BH4-, ClO4- and H- ions on the Ag(111) surface in an aqueous medium were determined using Na+ and K+ as counter ions, to evaluate the performance of this method. The adsorption of the divalent ions S2-, Se2- and SO42- on different surfaces was studied as well. Then this method was used to explore the hydrolysis of BH4- ions, which have a high theoretical hydrogen storage capacity, on the Ag(111) surface. The results point out that during the catalytic hydrolysis only one hydrogen atom from borohydride is transferred to the surface. In the first step one hydrogen atom from BH4- is transferred to the silver surface; this H atom reacts with a hydrogen atom that is released from an adsorbed water molecule; in addition, a hydrogen molecule is released in the second step (one atom from ∗BH4- and one from ∗H2O). Thus, the mechanisms of the catalyzed reductions by BH4- and the hydrogen evolution reactions must be reconsidered. This journal is © the Owner Societies.",,"Adsorption; Catalysis; Hydrogen storage; Hydrolysis; Ions; Molecules; Adsorption energies; Aqueous media; Borohydrides; Charged species; Charged systems; Counterions; Heterogeneously catalyzed reactions; Hydrogen atoms; Metallic systems; Reaction mechanism; Atoms",Article,"Final","",Scopus,2-s2.0-85119153870
"Ramma M.M., Katkevics J., Jasulaneca L., Kunakova G., Sondors R., Meija R., Erts D., Kosmaca J.","57217035449;37118935400;56609341400;37124028700;57209976133;35766655400;6603857923;55860971300;","Dielectrophoretic alignment and electrical characterization of CuO nanowire-based systems",2021,"Surfaces and Interfaces","27",,"101531","","",,,"10.1016/j.surfin.2021.101531","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122680583&doi=10.1016%2fj.surfin.2021.101531&partnerID=40&md5=3af529e56dc6640022bbfd6795ea5a41","Institute of Chemical Physics, University of Latvia, 1 Jelgavas str., Riga, LV-1004, Latvia; Faculty of Chemistry, University of Latvia, 1 Jelgavas str., Riga, LV-1004, Latvia","Ramma, M.M., Institute of Chemical Physics, University of Latvia, 1 Jelgavas str., Riga, LV-1004, Latvia; Katkevics, J., Institute of Chemical Physics, University of Latvia, 1 Jelgavas str., Riga, LV-1004, Latvia; Jasulaneca, L., Institute of Chemical Physics, University of Latvia, 1 Jelgavas str., Riga, LV-1004, Latvia; Kunakova, G., Institute of Chemical Physics, University of Latvia, 1 Jelgavas str., Riga, LV-1004, Latvia; Sondors, R., Institute of Chemical Physics, University of Latvia, 1 Jelgavas str., Riga, LV-1004, Latvia; Meija, R., Institute of Chemical Physics, University of Latvia, 1 Jelgavas str., Riga, LV-1004, Latvia; Erts, D., Institute of Chemical Physics, University of Latvia, 1 Jelgavas str., Riga, LV-1004, Latvia, Faculty of Chemistry, University of Latvia, 1 Jelgavas str., Riga, LV-1004, Latvia; Kosmaca, J., Institute of Chemical Physics, University of Latvia, 1 Jelgavas str., Riga, LV-1004, Latvia","Dielectrophoresis is used to assemble nanowires between metallic electrodes to form scalable functional interconnects. The dielectrophoresis parameters are investigated for semiconductor copper oxide (CuO) nanowires that are desirable for energy conversion and storage, gas sensors and nanoelectromechanical systems. Experimental yields of multiple- and single-nanowire interconnects are explored at dielectrophoresis frequencies from 500 Hz to 500 kHz. The electrical properties of nanowire-electrode physical contact interfaces formed by dielectrophoresis, metal deposition, and dry mechanical transfer are investigated. The electrical transport mechanism in these interconnects is determined to be ohmic conductivity at small electric field, which is overtaken by an order of magnitude higher space charge limited conductivity for electric fields above 105 V/m. The developed method is demonstrated as a promising route to produce nanowire interconnects towards scalable on-chip nanoelectromechanical systems. © 2021 Elsevier B.V.","CuO, Space charge limited current; Dielectrophoresis; Nanowire",,Article,"Final","",Scopus,2-s2.0-85122680583
"Drir N., Chekired F., Rekioua D.","55942999800;42861108800;6506639323;","An integrated neural network for the dynamic domestic energy management of a solar house",2021,"International Transactions on Electrical Energy Systems","31","12","e13227","","",,,"10.1002/2050-7038.13227","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121440736&doi=10.1002%2f2050-7038.13227&partnerID=40&md5=0e4db9e8c6f81d396330c05a3e10e37d","Faculté d'Electronique et Informatique, Université des Sciences et de la Technologie Houari Boumediene (USTHB), Bab-Ezzouar, Algeria; Unité de Developpement des Equipements Solaires UDES/Centre de Developpement des Energies Renouvelables CDER, Tipaza, Algeria; Laboratoire de Technologie Industrielle et de l'Information LTII, Université de Bejaia, Bejaia, Algeria","Drir, N., Faculté d'Electronique et Informatique, Université des Sciences et de la Technologie Houari Boumediene (USTHB), Bab-Ezzouar, Algeria; Chekired, F., Unité de Developpement des Equipements Solaires UDES/Centre de Developpement des Energies Renouvelables CDER, Tipaza, Algeria; Rekioua, D., Laboratoire de Technologie Industrielle et de l'Information LTII, Université de Bejaia, Bejaia, Algeria","Energy management system in residential areas has attracted the attention of several researchers for the development of smart cities as well as smart houses. Throughout this study, a neural network based on home energy management system (NNHEMS) has been developed to set optimal consumer priorities considering many factors, such as load priority, load profiles, environmental aspects, and user comfort. This NNHEMS; has been applied to a grid-connected photovoltaic system with a storage battery to power a house. Based on the available energy of the PV system and the loads type and priority (critical and not-critical loads), the authors design an advanced control system incorporating artificial neural network (ANN) concepts in order to satisfy the energy needs of home users and increase the performance of electricity networks. In this approach, the type of the ANN is the multi-level feedback network (MLFN); interconnection is provided by the Levenberg-Marquardt algorithm; in which data and computations flow in a specific direction from input to output. The efficiency of the proposed NNHEMS; is demonstrated in an installed house in Bouismail (Algeria) during a summer week (July 2019) with favorable weather conditions. Results demonstrate that the developed NNHEMS could achieve an optimal energy management in this solar house by saving 24.6% of energy consumption. Consequently, demand and supply of renewable energy are to be improved along with electricity network efficiency increase. © 2021 John Wiley & Sons Ltd",,"Energy management; Energy management systems; Energy utilization; Houses; Intelligent buildings; Photovoltaic cells; Solar power generation; Zero energy buildings; Electricity networks; Home energy management systems; Home energy managements; Load priority; Network-based; Neural network techniques; Neural-networks; Photovoltaics; Solar home; Solar house; Neural networks",Article,"Final","",Scopus,2-s2.0-85121440736
"Gago C., Guerreiro A., Miguel M.G., Faleiro M.L., Antunes M.D.","37060829600;56007053600;35562054500;6507927018;7102645075;","Dried snacks of Opuntia-ficus indica (L.): Quality and its preservation capacity",2021,"Acta Horticulturae","1329",,,"7","14",,,"10.17660/ActaHortic.2021.1329.2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121435650&doi=10.17660%2fActaHortic.2021.1329.2&partnerID=40&md5=b535a9bc0beac2446a3f536fddd8a274","MED, FCT, Universidade do Algarve, Campus de Gambelas, edf. 8, Faro, 8005-139, Portugal; CEOT, FCT, Universidade do Algarve, Campus de Gambelas, edf. 8, Faro, 8005-139, Portugal; Algarve Biomedical Center, FCT, Universidade do Algarve, Campus de Gambelas, edf. 8, Faro, 8005-139, Portugal","Gago, C., MED, FCT, Universidade do Algarve, Campus de Gambelas, edf. 8, Faro, 8005-139, Portugal; Guerreiro, A., CEOT, FCT, Universidade do Algarve, Campus de Gambelas, edf. 8, Faro, 8005-139, Portugal; Miguel, M.G., MED, FCT, Universidade do Algarve, Campus de Gambelas, edf. 8, Faro, 8005-139, Portugal; Faleiro, M.L., Algarve Biomedical Center, FCT, Universidade do Algarve, Campus de Gambelas, edf. 8, Faro, 8005-139, Portugal; Antunes, M.D., MED, FCT, Universidade do Algarve, Campus de Gambelas, edf. 8, Faro, 8005-139, Portugal","Prickly pear (Opuntia-ficus indica L.) grows in arid and semi-arid areas and show good nutritional and medicinal characteristics. Fruit consumption is limited by short harvesting season and shelf life. Drying may resolve such issues. The objective of the present work was to evaluate the effect of different types of dehydrated fruits (dehydrated bars, dehydrated slices or powder) on the storage ability of 2 ecotypes of Opuntia-ficus fruit harvested in South of Portugal (“Orange” and “Green”). Fruits were prepared without peel and cut in slices or mixed as pulp then dried at 60°C. Afterwards, slices were stored, and pulp prepared as dehydrated bars or powder, then stored at room temperature for 9 months. Initially and at the end of storage period, colour (CIELab), soluble solids content (SSC), titratable acidity, water activity (aw), total fibre content, ash content, protein content, phenolics, flavonoids, tannins, betalains and antioxidant activity were determined and as well microbial contamination and sensory panels. Prickly pear dried food products showed very good nutritional quality attributes. Apart from colour, there were no significant differences between ecotype quality. The fruit powder was lower in SSC than the fruit bars and higher in bioactive compounds (total phenols, tannins, flavonoids and betalains) and antioxidant activity. Dehydrated sliced fruits, although they are nutritionally rich, do not seem to be commercially viable because they contain too many seeds in the opinion of the taste panel. Fruit bars are a good source of energy and with good overall acceptance by the taste panel. The quality was maintained for all treatments up to 9 months storage with microbial development under the standard limits. © 2021 International Society for Horticultural Science. All rights reserved.","Antioxidant activity; Betalains; Nutritional snacks; Prickly pear; Total phenols",,Conference Paper,"Final","",Scopus,2-s2.0-85121435650
"Huang Z., Ben-Idris M.","57370839700;57284043300;","Energy Storage - The Buffer We Have Been Looking for [About This Issue]",2021,"IEEE Electrification Magazine","9","4",,"2","3",,,"10.1109/MELE.2021.3115538","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121053135&doi=10.1109%2fMELE.2021.3115538&partnerID=40&md5=3d957e3cb04792ad63ace243459bffb8",,"Huang, Z.; Ben-Idris, M.",[No abstract available],,,Article,"Final","",Scopus,2-s2.0-85121053135
"Comanescu C., Palade P., Kuncser V.","36681831200;7005518749;7003789849;","Mössbauer spectroscopy investigation of Fe oxide nanoparticles synthesized by a novel hydrothermal process over a wide pH range (3–13)",2021,"Hyperfine Interactions","242","1","42","","",,,"10.1007/s10751-021-01775-x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120708620&doi=10.1007%2fs10751-021-01775-x&partnerID=40&md5=7d2fb4bf3c4cc79dfb8055b41a143356","National Institute of Materials Physics, Atomistilor 405A, P.O.Box MG-7, 077125, Bucharest, Magurele, Romania; Faculty of Physics, Physics-Platform – Magurele, University of Bucharest, 405, Atomistilor St., 077125, Bucharest, Magurele, Romania","Comanescu, C., National Institute of Materials Physics, Atomistilor 405A, P.O.Box MG-7, 077125, Bucharest, Magurele, Romania, Faculty of Physics, Physics-Platform – Magurele, University of Bucharest, 405, Atomistilor St., 077125, Bucharest, Magurele, Romania; Palade, P., National Institute of Materials Physics, Atomistilor 405A, P.O.Box MG-7, 077125, Bucharest, Magurele, Romania; Kuncser, V., National Institute of Materials Physics, Atomistilor 405A, P.O.Box MG-7, 077125, Bucharest, Magurele, Romania","Fe oxide magnetic nanoparticles (MNPs) in general and cobalt ferrite nanoparticles in particular have immense potential for applications in catalysis, medicine, information and energy storage, etc. MNPs feature interesting physical and chemical properties, different to those of corresponding bulk materials. The magnetic anisotropy constant of almost spherical CoFe2O4 MNPs is much higher than that of magnetite (Fe3O4) MNPs of similar geometrical parameters due to the magnetocrystalline contribution. CoFe2O4 shows significant magnetization at saturation, high coercive field and Curie temperature, and good chemical and magnetic stability, being therefore preferable to the most usual Fe3O4 MNPs. A surfactant-assisted synthetic route was employed to synthesize Fe oxide and in particular cobalt ferrite MNPs over a wide pH range (3–13), endeavor which allowed analysis of transient and parasitic phase identified in acidic reaction conditions. © 2021, The Author(s), under exclusive licence to Springer Nature Switzerland AG.","57Fe Mössbauer spectroscopy; Cobalt ferrite nanoparticles; High coercivity; Hydrothermal synthesis; XRD",,Article,"Final","",Scopus,2-s2.0-85120708620
